"id","date","days","name"
138,1871-06-08,3,"MISSING"
139,1871-08-14,10,"MISSING"
140,1871-08-17,14,"MISSING"
141,1871-08-30,4,"MISSING"
142,1871-09-05,4,"MISSING"
143,1871-09-30,8,"MISSING"
144,1871-10-10,4,"MISSING"
145,1872-07-09,5,"MISSING"
146,1872-08-20,14,"MISSING"
147,1872-09-09,12,"MISSING"
148,1872-09-30,7,"MISSING"
149,1872-10-22,7,"MISSING"
150,1873-06-01,2,"MISSING"
151,1873-08-13,16,"MISSING"
152,1873-09-18,3,"MISSING"
153,1873-09-22,3,"MISSING"
154,1873-09-26,15,"MISSING"
155,1874-07-02,4,"MISSING"
156,1874-08-03,5,"MISSING"
157,1874-08-29,11,"MISSING"
158,1874-09-02,6,"MISSING"
159,1874-09-08,4,"MISSING"
160,1874-09-25,7,"MISSING"
161,1874-10-31,5,"MISSING"
162,1875-08-16,4,"MISSING"
163,1875-09-01,10,"MISSING"
164,1875-09-08,11,"MISSING"
165,1875-09-24,5,"MISSING"
166,1875-10-07,4,"MISSING"
167,1875-10-12,5,"MISSING"
168,1876-09-09,3,"MISSING"
169,1876-09-12,8,"MISSING"
170,1876-09-16,3,"MISSING"
171,1876-09-29,7,"MISSING"
172,1876-10-12,12,"MISSING"
173,1877-08-01,5,"MISSING"
174,1877-09-14,8,"MISSING"
175,1877-09-16,7,"MISSING"
176,1877-09-21,15,"MISSING"
177,1877-09-24,6,"MISSING"
178,1877-10-13,6,"MISSING"
179,1877-10-24,5,"MISSING"
180,1877-11-28,3,"MISSING"
181,1878-07-01,3,"MISSING"
182,1878-08-08,12,"MISSING"
183,1878-08-19,3,"MISSING"
184,1878-08-25,6,"MISSING"
185,1878-09-01,13,"MISSING"
186,1878-09-12,7,"MISSING"
187,1878-09-24,15,"MISSING"
188,1878-10-09,8,"MISSING"
189,1878-10-09,7,"MISSING"
190,1878-10-13,7,"MISSING"
191,1878-10-18,8,"MISSING"
192,1878-11-25,8,"MISSING"
193,1879-08-09,4,"MISSING"
194,1879-08-13,8,"MISSING"
195,1879-08-19,6,"MISSING"
196,1879-08-29,5,"MISSING"
197,1879-10-03,5,"MISSING"
198,1879-10-09,8,"MISSING"
199,1879-10-24,6,"MISSING"
200,1879-11-18,4,"MISSING"
201,1880-06-21,5,"MISSING"
202,1880-08-04,11,"MISSING"
203,1880-08-15,6,"MISSING"
204,1880-08-24,9,"MISSING"
205,1880-08-26,10,"MISSING"
206,1880-09-06,6,"MISSING"
207,1880-09-08,3,"MISSING"
208,1880-09-27,8,"MISSING"
209,1880-10-05,6,"MISSING"
210,1880-10-10,7,"MISSING"
211,1880-10-20,5,"MISSING"
212,1881-08-01,4,"MISSING"
213,1881-08-11,8,"MISSING"
214,1881-08-11,4,"MISSING"
215,1881-08-16,6,"MISSING"
216,1881-08-21,9,"MISSING"
217,1881-09-07,5,"MISSING"
218,1881-09-18,7,"MISSING"
219,1882-08-24,2,"MISSING"
220,1882-09-02,12,"MISSING"
221,1882-09-14,3,"MISSING"
222,1882-09-21,4,"MISSING"
223,1882-09-24,5,"MISSING"
224,1882-10-05,11,"MISSING"
225,1883-08-18,11,"MISSING"
226,1883-08-24,10,"MISSING"
227,1883-09-04,10,"MISSING"
228,1883-10-22,7,"MISSING"
229,1884-09-01,6,"MISSING"
230,1884-09-03,14,"MISSING"
231,1884-09-10,11,"MISSING"
232,1884-10-07,11,"MISSING"
233,1885-08-07,9,"MISSING"
234,1885-08-21,8,"MISSING"
235,1885-08-29,3,"MISSING"
236,1885-09-17,7,"MISSING"
237,1885-09-18,4,"MISSING"
238,1885-09-24,9,"MISSING"
239,1885-09-26,4,"MISSING"
240,1885-10-10,5,"MISSING"
241,1886-06-13,3,"MISSING"
242,1886-06-17,8,"MISSING"
243,1886-06-27,6,"MISSING"
244,1886-07-14,11,"MISSING"
245,1886-08-12,10,"MISSING"
246,1886-08-15,13,"MISSING"
247,1886-08-20,6,"MISSING"
248,1886-09-16,9,"MISSING"
249,1886-09-22,9,"MISSING"
250,1886-10-08,6,"MISSING"
251,1886-10-10,6,"MISSING"
252,1886-10-21,6,"MISSING"
253,1887-05-15,6,"MISSING"
254,1887-05-17,5,"MISSING"
255,1887-06-11,4,"MISSING"
256,1887-07-20,9,"MISSING"
257,1887-07-30,10,"MISSING"
258,1887-08-14,10,"MISSING"
259,1887-08-18,10,"MISSING"
260,1887-09-01,6,"MISSING"
261,1887-09-11,12,"MISSING"
262,1887-09-14,5,"MISSING"
263,1887-10-06,4,"MISSING"
264,1887-10-08,2,"MISSING"
265,1887-10-09,14,"MISSING"
266,1887-10-10,3,"MISSING"
267,1887-10-15,5,"MISSING"
268,1887-10-29,9,"MISSING"
269,1887-11-27,8,"MISSING"
270,1887-12-04,7,"MISSING"
271,1887-12-07,6,"MISSING"
272,1888-06-16,3,"MISSING"
273,1888-07-04,3,"MISSING"
274,1888-08-14,11,"MISSING"
275,1888-08-31,9,"MISSING"
276,1888-09-06,8,"MISSING"
277,1888-09-23,5,"MISSING"
278,1888-10-08,5,"MISSING"
279,1888-11-01,8,"MISSING"
280,1888-11-17,16,"MISSING"
281,1889-05-16,7,"MISSING"
282,1889-06-15,6,"MISSING"
283,1889-08-19,10,"MISSING"
284,1889-09-01,12,"MISSING"
285,1889-09-02,10,"MISSING"
286,1889-09-12,8,"MISSING"
287,1889-09-12,15,"MISSING"
288,1889-09-29,8,"MISSING"
289,1889-10-05,7,"MISSING"
290,1890-05-27,3,"MISSING"
291,1890-08-18,11,"MISSING"
292,1890-08-26,9,"MISSING"
293,1890-10-31,2,"MISSING"
294,1891-07-03,6,"MISSING"
295,1891-08-17,13,"MISSING"
296,1891-08-18,8,"MISSING"
297,1891-09-02,9,"MISSING"
298,1891-09-16,11,"MISSING"
299,1891-09-29,10,"MISSING"
300,1891-10-04,7,"MISSING"
301,1891-10-07,10,"MISSING"
302,1891-10-12,9,"MISSING"
303,1891-11-03,4,"MISSING"
304,1892-06-09,8,"MISSING"
305,1892-08-15,10,"MISSING"
306,1892-09-03,15,"MISSING"
307,1892-09-08,10,"MISSING"
308,1892-09-12,12,"MISSING"
309,1892-09-25,3,"MISSING"
310,1892-10-05,12,"MISSING"
311,1892-10-13,8,"MISSING"
312,1892-10-21,9,"MISSING"
313,1893-06-12,9,"MISSING"
314,1893-07-04,4,"MISSING"
315,1893-08-13,13,"MISSING"
316,1893-08-15,12,"MISSING"
317,1893-08-15,19,"MISSING"
318,1893-08-15,5,"MISSING"
319,1893-08-20,10,"MISSING"
320,1893-09-04,6,"MISSING"
321,1893-09-25,21,"MISSING"
322,1893-09-27,9,"MISSING"
323,1893-10-20,4,"MISSING"
324,1893-11-05,8,"MISSING"
325,1894-06-06,4,"MISSING"
326,1894-08-05,5,"MISSING"
327,1894-08-30,11,"MISSING"
328,1894-09-18,14,"MISSING"
329,1894-10-01,12,"MISSING"
330,1894-10-11,10,"MISSING"
331,1894-10-21,11,"MISSING"
332,1895-08-14,4,"MISSING"
333,1895-08-22,9,"MISSING"
334,1895-09-28,10,"MISSING"
335,1895-10-02,6,"MISSING"
336,1895-10-12,15,"MISSING"
337,1895-10-13,5,"MISSING"
338,1896-07-04,9,"MISSING"
339,1896-08-30,13,"MISSING"
340,1896-09-18,11,"MISSING"
341,1896-09-22,9,"MISSING"
342,1896-10-07,10,"MISSING"
343,1896-10-26,15,"MISSING"
344,1896-11-27,3,"MISSING"
345,1897-08-31,11,"MISSING"
346,1897-09-10,4,"MISSING"
347,1897-09-20,6,"MISSING"
348,1897-09-25,5,"MISSING"
349,1897-10-09,14,"MISSING"
350,1897-10-23,9,"MISSING"
351,1898-08-02,2,"MISSING"
352,1898-08-30,3,"MISSING"
353,1898-09-03,4,"MISSING"
354,1898-09-05,16,"MISSING"
355,1898-09-12,11,"MISSING"
356,1898-09-20,9,"MISSING"
357,1898-09-25,12,"MISSING"
358,1898-09-25,4,"MISSING"
359,1898-10-02,13,"MISSING"
360,1898-10-21,3,"MISSING"
361,1898-10-27,9,"MISSING"
362,1899-06-26,2,"MISSING"
363,1899-07-28,6,"MISSING"
364,1899-08-03,33,"MISSING"
365,1899-08-29,11,"MISSING"
366,1899-09-03,13,"MISSING"
367,1899-10-02,7,"MISSING"
368,1899-10-10,5,"MISSING"
369,1899-10-15,4,"MISSING"
370,1899-10-26,10,"MISSING"
371,1899-11-07,4,"MISSING"
372,1900-08-27,20,"MISSING"
373,1900-09-07,13,"MISSING"
374,1900-09-08,16,"MISSING"
375,1900-09-11,5,"MISSING"
376,1900-10-04,11,"MISSING"
377,1900-10-10,6,"MISSING"
378,1900-10-24,6,"MISSING"
379,1901-06-11,5,"MISSING"
380,1901-07-01,10,"MISSING"
381,1901-07-04,10,"MISSING"
382,1901-08-02,17,"MISSING"
383,1901-08-18,5,"MISSING"
384,1901-08-25,6,"MISSING"
385,1901-08-29,14,"MISSING"
386,1901-09-09,11,"MISSING"
387,1901-09-12,6,"MISSING"
388,1901-09-21,12,"MISSING"
389,1901-10-05,10,"MISSING"
390,1901-10-15,4,"MISSING"
391,1901-10-30,8,"MISSING"
392,1902-06-12,6,"MISSING"
393,1902-06-21,9,"MISSING"
394,1902-09-16,10,"MISSING"
395,1902-10-03,11,"MISSING"
396,1902-11-01,6,"MISSING"
397,1903-07-21,6,"MISSING"
398,1903-08-06,11,"MISSING"
399,1903-09-09,8,"MISSING"
400,1903-09-12,6,"MISSING"
401,1903-09-19,8,"MISSING"
402,1903-09-26,5,"MISSING"
403,1903-10-01,10,"MISSING"
404,1903-10-05,6,"MISSING"
405,1903-10-21,7,"MISSING"
406,1903-11-17,9,"MISSING"
407,1904-06-10,5,"MISSING"
408,1904-09-08,8,"MISSING"
409,1904-09-28,7,"MISSING"
410,1904-10-12,10,"MISSING"
411,1904-10-19,7,"MISSING"
412,1904-10-31,7,"MISSING"
413,1905-09-06,3,"MISSING"
414,1905-09-11,6,"MISSING"
415,1905-09-24,7,"MISSING"
416,1905-10-01,13,"MISSING"
417,1905-10-05,7,"MISSING"
418,1906-06-08,7,"MISSING"
419,1906-06-14,10,"MISSING"
420,1906-08-22,4,"MISSING"
421,1906-08-25,19,"MISSING"
422,1906-09-03,16,"MISSING"
423,1906-09-19,12,"MISSING"
424,1906-09-22,11,"MISSING"
425,1906-10-08,16,"MISSING"
426,1906-10-14,4,"MISSING"
427,1906-10-15,6,"MISSING"
428,1906-11-05,6,"MISSING"
429,1907-06-24,7,"MISSING"
430,1907-09-18,6,"MISSING"
431,1907-09-27,4,"MISSING"
432,1907-10-17,4,"MISSING"
433,1907-11-06,7,"MISSING"
434,1908-03-06,4,"MISSING"
435,1908-05-24,8,"MISSING"
436,1908-07-24,11,"MISSING"
437,1908-07-29,6,"MISSING"
438,1908-08-30,4,"MISSING"
439,1908-09-07,13,"MISSING"
440,1908-09-16,3,"MISSING"
441,1908-09-21,17,"MISSING"
442,1908-10-14,6,"MISSING"
443,1908-10-19,5,"MISSING"
444,1909-06-15,5,"MISSING"
445,1909-06-25,6,"MISSING"
446,1909-06-26,9,"MISSING"
447,1909-07-13,10,"MISSING"
448,1909-08-06,5,"MISSING"
449,1909-08-20,9,"MISSING"
450,1909-08-22,4,"MISSING"
451,1909-08-28,4,"MISSING"
452,1909-09-13,10,"MISSING"
453,1909-09-24,6,"MISSING"
454,1909-10-06,8,"MISSING"
455,1909-11-08,7,"MISSING"
456,1910-08-23,7,"MISSING"
457,1910-08-26,6,"MISSING"
458,1910-09-05,11,"MISSING"
459,1910-09-24,6,"MISSING"
460,1910-10-09,15,"MISSING"
461,1911-08-04,9,"MISSING"
462,1911-08-08,7,"MISSING"
463,1911-08-23,9,"MISSING"
464,1911-09-03,10,"MISSING"
465,1911-09-15,6,"MISSING"
466,1911-10-26,7,"MISSING"
467,1912-06-07,11,"MISSING"
468,1912-07-12,6,"MISSING"
469,1912-09-02,5,"MISSING"
470,1912-09-10,6,"MISSING"
471,1912-10-03,8,"MISSING"
472,1912-10-11,8,"MISSING"
473,1912-11-11,11,"MISSING"
474,1913-06-21,9,"MISSING"
475,1913-08-14,3,"MISSING"
476,1913-08-26,18,"MISSING"
477,1913-08-30,6,"MISSING"
478,1913-10-02,10,"MISSING"
479,1913-10-28,3,"MISSING"
480,1914-09-15,5,"MISSING"
481,1915-07-31,6,"MISSING"
482,1915-08-05,19,"MISSING"
483,1915-08-27,16,"MISSING"
484,1915-08-31,7,"MISSING"
485,1915-09-19,5,"MISSING"
486,1915-09-21,11,"MISSING"
487,1916-05-13,6,"MISSING"
488,1916-06-28,13,"MISSING"
489,1916-07-10,13,"MISSING"
490,1916-07-11,5,"MISSING"
491,1916-08-04,3,"MISSING"
492,1916-08-12,9,"MISSING"
493,1916-08-21,6,"MISSING"
494,1916-08-27,7,"MISSING"
495,1916-09-04,4,"MISSING"
496,1916-09-13,10,"MISSING"
497,1916-09-17,9,"MISSING"
498,1916-10-02,4,"MISSING"
499,1916-10-06,10,"MISSING"
500,1916-10-09,11,"MISSING"
501,1916-11-11,6,"MISSING"
502,1917-07-06,9,"MISSING"
503,1917-08-06,6,"MISSING"
504,1917-08-30,9,"MISSING"
505,1917-09-20,11,"MISSING"
506,1918-08-01,7,"MISSING"
507,1918-08-22,5,"MISSING"
508,1918-08-23,4,"MISSING"
509,1918-08-31,7,"MISSING"
510,1918-09-02,7,"MISSING"
511,1918-09-09,6,"MISSING"
512,1919-07-02,4,"MISSING"
513,1919-09-02,4,"MISSING"
514,1919-09-02,15,"MISSING"
515,1919-09-29,4,"MISSING"
516,1919-11-10,6,"MISSING"
517,1920-09-07,10,"MISSING"
518,1920-09-16,8,"MISSING"
519,1920-09-19,6,"MISSING"
520,1920-09-23,5,"MISSING"
521,1920-09-25,6,"MISSING"
522,1921-06-16,11,"MISSING"
523,1921-09-04,5,"MISSING"
524,1921-09-06,12,"MISSING"
525,1921-09-08,7,"MISSING"
526,1921-10-15,10,"MISSING"
527,1921-10-20,11,"MISSING"
528,1921-11-19,7,"MISSING"
529,1922-06-12,5,"MISSING"
530,1922-09-13,16,"MISSING"
531,1922-09-18,8,"MISSING"
532,1922-10-11,12,"MISSING"
533,1922-10-12,6,"MISSING"
534,1923-06-22,8,"MISSING"
535,1923-09-01,10,"MISSING"
536,1923-09-07,5,"MISSING"
537,1923-09-10,6,"MISSING"
538,1923-09-24,11,"MISSING"
539,1923-10-12,6,"MISSING"
540,1923-10-15,5,"MISSING"
541,1923-10-16,6,"MISSING"
542,1923-10-24,4,"MISSING"
543,1924-06-18,4,"MISSING"
544,1924-07-28,3,"MISSING"
545,1924-08-16,13,"MISSING"
546,1924-08-26,12,"MISSING"
547,1924-09-13,7,"MISSING"
548,1924-09-20,3,"MISSING"
549,1924-09-24,12,"MISSING"
550,1924-09-27,5,"MISSING"
551,1924-10-11,5,"MISSING"
552,1924-10-14,10,"MISSING"
553,1924-11-05,10,"MISSING"
554,1925-08-18,4,"MISSING"
555,1925-08-25,4,"MISSING"
556,1925-09-06,2,"MISSING"
557,1925-11-27,9,"MISSING"
558,1926-07-22,12,"MISSING"
559,1926-07-29,11,"MISSING"
560,1926-08-20,8,"MISSING"
561,1926-09-01,24,"MISSING"
562,1926-09-10,5,"MISSING"
563,1926-09-11,7,"MISSING"
564,1926-09-11,12,"MISSING"
565,1926-09-21,11,"MISSING"
566,1926-10-03,3,"MISSING"
567,1926-10-14,15,"MISSING"
568,1926-11-12,5,"MISSING"
569,1927-08-18,12,"MISSING"
570,1927-09-02,10,"MISSING"
571,1927-09-22,8,"MISSING"
572,1927-09-23,9,"MISSING"
573,1927-09-30,5,"MISSING"
574,1927-10-16,4,"MISSING"
575,1927-10-30,6,"MISSING"
576,1927-11-19,3,"MISSING"
577,1928-08-03,11,"MISSING"
578,1928-08-07,11,"MISSING"
579,1928-09-01,8,"MISSING"
580,1928-09-06,16,"MISSING"
581,1928-09-08,6,"MISSING"
582,1928-10-10,6,"MISSING"
583,1929-06-27,4,"MISSING"
584,1929-09-19,17,"MISSING"
585,1929-09-25,5,"MISSING"
586,1929-10-15,6,"MISSING"
587,1929-10-19,5,"MISSING"
588,1930-08-21,14,"MISSING"
589,1930-08-29,20,"MISSING"
590,1930-10-18,4,"MISSING"
591,1931-06-24,5,"MISSING"
592,1931-07-11,7,"MISSING"
593,1931-08-10,10,"MISSING"
594,1931-08-16,6,"MISSING"
595,1931-09-01,4,"MISSING"
596,1931-09-06,8,"MISSING"
597,1931-09-08,9,"MISSING"
598,1931-09-23,7,"MISSING"
599,1931-10-13,4,"MISSING"
600,1931-10-18,5,"MISSING"
601,1931-11-01,5,"MISSING"
602,1931-11-11,6,"MISSING"
603,1931-11-22,4,"MISSING"
604,1932-05-05,7,"MISSING"
605,1932-08-12,4,"MISSING"
606,1932-08-26,10,"MISSING"
607,1932-08-30,18,"MISSING"
608,1932-09-04,4,"MISSING"
609,1932-09-09,10,"MISSING"
610,1932-09-16,11,"MISSING"
611,1932-09-18,4,"MISSING"
612,1932-09-25,8,"MISSING"
613,1932-09-28,3,"MISSING"
614,1932-10-07,12,"MISSING"
615,1932-10-08,5,"MISSING"
616,1932-10-18,4,"MISSING"
617,1932-10-30,16,"MISSING"
618,1932-11-03,8,"MISSING"
619,1933-05-14,6,"MISSING"
620,1933-06-24,14,"MISSING"
621,1933-07-14,14,"MISSING"
622,1933-07-24,13,"MISSING"
623,1933-07-24,4,"MISSING"
624,1933-08-13,16,"MISSING"
625,1933-08-14,8,"MISSING"
626,1933-08-22,15,"MISSING"
627,1933-08-23,9,"MISSING"
628,1933-08-26,5,"MISSING"
629,1933-08-31,8,"MISSING"
630,1933-09-08,15,"MISSING"
631,1933-09-10,7,"MISSING"
632,1933-09-16,10,"MISSING"
633,1933-09-24,5,"MISSING"
634,1933-10-01,9,"MISSING"
635,1933-10-01,4,"MISSING"
636,1933-10-25,14,"MISSING"
637,1933-10-26,5,"MISSING"
638,1933-11-15,3,"MISSING"
639,1934-06-04,18,"MISSING"
640,1934-07-12,6,"MISSING"
641,1934-07-22,5,"MISSING"
642,1934-08-20,4,"MISSING"
643,1934-08-26,7,"MISSING"
644,1934-09-01,4,"MISSING"
645,1934-09-05,6,"MISSING"
646,1934-09-16,8,"MISSING"
647,1934-09-18,8,"MISSING"
648,1934-10-01,6,"MISSING"
649,1934-10-01,4,"MISSING"
650,1934-10-19,5,"MISSING"
651,1934-11-20,11,"MISSING"
652,1935-05-15,5,"MISSING"
653,1935-08-16,11,"MISSING"
654,1935-08-29,13,"MISSING"
655,1935-08-30,4,"MISSING"
656,1935-09-23,10,"MISSING"
657,1935-10-18,10,"MISSING"
658,1935-10-30,10,"MISSING"
659,1935-11-03,12,"MISSING"
660,1936-06-12,6,"MISSING"
661,1936-06-19,4,"MISSING"
662,1936-06-26,3,"MISSING"
663,1936-07-26,3,"MISSING"
664,1936-07-27,6,"MISSING"
665,1936-08-04,8,"MISSING"
666,1936-08-07,6,"MISSING"
667,1936-08-15,6,"MISSING"
668,1936-08-20,4,"MISSING"
669,1936-08-25,13,"MISSING"
670,1936-08-28,4,"MISSING"
671,1936-09-07,2,"MISSING"
672,1936-09-08,18,"MISSING"
673,1936-09-09,6,"MISSING"
674,1936-09-18,8,"MISSING"
675,1936-10-09,3,"MISSING"
676,1936-12-02,15,"MISSING"
677,1937-07-29,5,"MISSING"
678,1937-08-02,8,"MISSING"
679,1937-08-24,10,"MISSING"
680,1937-09-09,6,"MISSING"
681,1937-09-10,3,"MISSING"
682,1937-09-13,8,"MISSING"
683,1937-09-16,6,"MISSING"
684,1937-09-20,9,"MISSING"
685,1937-09-26,8,"MISSING"
686,1937-10-02,3,"MISSING"
687,1937-10-18,4,"MISSING"
688,1938-01-01,6,"MISSING"
689,1938-08-08,2,"MISSING"
690,1938-08-10,6,"MISSING"
691,1938-08-23,7,"MISSING"
692,1938-09-09,6,"MISSING"
693,1938-09-09,15,"MISSING"
694,1938-10-10,8,"MISSING"
695,1938-10-16,6,"MISSING"
696,1938-11-07,4,"MISSING"
697,1939-06-12,7,"MISSING"
698,1939-08-07,13,"MISSING"
699,1939-08-15,6,"MISSING"
700,1939-09-23,5,"MISSING"
701,1939-10-11,8,"MISSING"
702,1939-10-28,11,"MISSING"
703,1940-05-19,9,"MISSING"
704,1940-08-03,8,"MISSING"
705,1940-08-05,10,"MISSING"
706,1940-08-26,9,"MISSING"
707,1940-09-07,13,"MISSING"
708,1940-09-18,8,"MISSING"
709,1940-09-22,7,"MISSING"
710,1940-10-20,5,"MISSING"
711,1940-10-24,6,"MISSING"
712,1941-09-11,6,"MISSING"
713,1941-09-17,11,"MISSING"
714,1941-09-18,8,"MISSING"
715,1941-09-23,8,"MISSING"
716,1941-10-03,11,"MISSING"
717,1941-10-15,8,"MISSING"
718,1942-08-03,3,"MISSING"
719,1942-08-17,7,"MISSING"
720,1942-08-23,10,"MISSING"
721,1942-08-25,10,"MISSING"
722,1942-09-15,9,"MISSING"
723,1942-09-18,8,"MISSING"
724,1942-09-27,4,"MISSING"
725,1942-09-30,6,"MISSING"
726,1942-10-10,4,"MISSING"
727,1942-10-13,6,"MISSING"
728,1942-11-05,7,"MISSING"
729,1943-07-25,6,"MISSING"
730,1943-08-13,7,"MISSING"
731,1943-08-19,9,"MISSING"
732,1943-09-01,10,"MISSING"
733,1943-09-13,5,"MISSING"
734,1943-09-15,6,"MISSING"
735,1943-09-28,5,"MISSING"
736,1943-10-01,3,"MISSING"
737,1943-10-11,7,"MISSING"
738,1943-10-20,7,"MISSING"
739,1944-07-13,8,"MISSING"
740,1944-07-24,4,"MISSING"
741,1944-07-30,6,"MISSING"
742,1944-08-16,9,"MISSING"
743,1944-08-18,6,"MISSING"
744,1944-09-09,8,"MISSING"
745,1944-09-09,3,"MISSING"
746,1944-09-19,4,"MISSING"
747,1944-09-21,8,"MISSING"
748,1944-09-30,4,"MISSING"
749,1944-09-30,4,"MISSING"
750,1944-10-11,5,"MISSING"
751,1944-10-12,13,"MISSING"
752,1944-11-01,3,"MISSING"
753,1945-06-20,15,"MISSING"
754,1945-07-19,4,"MISSING"
755,1945-08-02,3,"MISSING"
756,1945-08-17,5,"MISSING"
757,1945-08-24,6,"MISSING"
758,1945-08-29,4,"MISSING"
759,1945-09-03,4,"MISSING"
760,1945-09-09,4,"MISSING"
761,1945-09-12,9,"MISSING"
762,1945-10-02,6,"MISSING"
763,1945-10-10,7,"MISSING"
764,1946-06-13,4,"MISSING"
765,1946-07-05,6,"MISSING"
766,1946-08-25,2,"MISSING"
767,1946-09-12,6,"MISSING"
768,1946-10-01,6,"MISSING"
769,1946-10-05,10,"MISSING"
770,1946-10-31,4,"MISSING"
771,1947-07-31,3,"MISSING"
772,1947-08-09,8,"MISSING"
773,1947-08-18,10,"MISSING"
774,1947-09-04,18,"MISSING"
775,1947-09-07,3,"MISSING"
776,1947-09-20,7,"MISSING"
